,text
0,elhamdlillah ya rabbi
1,cant say nurses hospitals fear losing grip power need nursing schools full next cheap labor
2,going give motive hipaa laws actually apply situation state motive
3,two registered nurses
4,comments crack hate guns want guns banned move california criminals guns law abiding citizen
5,protection medical workers patients corporations care money money money money always valued human life country god protect nurses doctors
6,keep voting democrat get crime ridden cities prosecutions please go polls fire idioatic democrat policies
7,dallas hispanic male years old parole girlfriend ex giving birth trying hold hostage take baby shot nurses trying protect patients
8,know media playing clean even confirm kind employees rns many rns doctors targets violence hospitals media want post another story shows dangerous hospital staff gonna much justification raise
9,welcome texas
10,native texan one day leaving state
11,government must something gun violence control praying families person killed hope justice served without bond
12,million guns us surprising violent people get hands guns commit violent crimes
13,active shooter killed
14,tell us race shooter voted
15,hey okay responsible gun owner background checked psychological state diagnosed sure good christian republican family complete denial overall good american pie family goes trial judge lenient set exemplary human back streets keep shooting away people ok prayers lives back normal like never happened fkna
16,right wing terrorists doubt
17,nurses need able carry work
18,know amazed let somebody shoot kill two people wound arrest supposed kill ass make shooters victims roll police officer know kill people like kids something arrest kill asses promote supposed reap sow wants talk got mental problems get puppy kid nobody loves bull crap wants victim kill two people
19,oakcliff known
20,unbelievable sorry nurses families
21,aim little higher next time done
22,dude parole ankle monitor aggravated robbery nestor hernandez
23,sincere condolences families victims may rip heartbreaking
24,thank u nurses everything u
25,sad
26,safe two people got shot
27,time teach criminals lesson bringing guns border bored time legal immigrants take back home government fell government failed learn gun violence keep happening presently cause leaves people
28,every day fox claims crime california fox lies lies lies highest violent crime florida texas arizona
29,nobody considered stop sharing shootings publicly nobody else think people hear someone thinking might act thoughts exposure anything makes less scary never thought id live country normal im disgusted something needs seriously change shouldnt thought run head shooter comes grocery store cant imagine children time like pathetic nothing done
30,beware haters racists hopelessly ignorant maggots disrespect disdain constitution ones think rights rampant comment section free speech right exposes
31,nurse dallas shooting happened labor delivery unit shooter trying abduct child dont know child two nurses tried stop shot head
32,
33,say shooter get medical treatment know constitution given rights every person right due process remember even multiple witnesses shooting court person presumed innocent proven guilty ask know even rights would scenario say person found insane person guilty insanity sentences different hillbilly justice law
34,gun men terorist muslim
35,must seen bill hearing money sent ukraine
36,little nestor u citizen illegal immigrant
37,texas goes people homes shoot fun games someone back play counterstrike peoples backyards bad idea
